titre,url,difficulte,type,duree_min,utilisateurs,publie,point_de_vue,competences,technologies,outils,description
GoldenEye,https://tryhackme.com/room/goldeneye,medium,challenge,75,27134,2019-02-08,Red,Code review; Port scanning; Privilege escalation,Linux; Web,,"Bond, James Bond. A guided CTF."
Windows PrivEsc Arena,https://tryhackme.com/room/windowsprivescarena,medium,walkthrough,75,26917,2020-05-01,Red,Penetration testing; Red teaming; Security analysis,Windows,Metasploit Framework,Students will learn how to escalate privileges using a very vulnerable Windows 7 VM.  RDP is open.  Your credentials are user:password321
MS Sentinel: Introduction,https://tryhackme.com/room/sentinelintroduction,easy,walkthrough,45,26883,2025-03-05,Blue,Cloud security engineering,Azure, Microsoft Sentinel,What is Microsoft Sentinel and how does it fit into the role of a Security Operations Analyst?
Publisher,https://tryhackme.com/room/publisher,easy,challenge,60,26642,2024-06-28,Purple; Red,Application penetration testing; Application security engineering; Network penetration testing; Network security engineering; Penetration testing; Red teaming; Vulnerability analysis,Linux; Web,Dirbuster; Gobuster; LinPeas; Metasploit Framework; Ncat; Nmap; dirb; ferox; ffuf; nc; wfuzz,Test your enumeration skills on this boot-to-root machine.
Geolocating Images,https://tryhackme.com/room/geolocatingimages,easy,walkthrough,45,26634,2020-02-04,Purple,OSINT; Penetration testing; Red teaming,,,Room to understand how to geolocate images
Silver Platter,https://tryhackme.com/room/silverplatter,easy,challenge,180,26392,2025-01-10,Red,,Linux,,Can you breach the server?
ffuf,https://tryhackme.com/room/ffuf,easy,walkthrough,45,26359,2021-07-13,Red,Application penetration testing; Detection engineering; Network penetration testing; Penetration testing; Red teaming; Security analysis,,,"Enumeration, fuzzing, and directory brute forcing using ffuf"
Whiterose,https://tryhackme.com/room/whiterose,easy,challenge,60,26005,2024-10-30,Red,,Linux,,Yet another Mr. Robot themed challenge.
Log Analysis with SIEM,https://tryhackme.com/room/loganalysiswithsiem,medium,walkthrough,90,25933,2025-08-21,Blue,Log analysis; Log correlation,Linux; Web; Windows,Splunk,Learn how SIEM solutions can be used to detect and analyse malicious behaviour.
AI Threat Modelling Assessment,https://tryhackme.com/room/aithreatmodellingassessment,easy,challenge,15,25424,2026-04-13,Blue,AI Pentesting,Artificial intelligence,,Put your AI threat modelling skills to the test using an interactive assessment application.
The Cod Caper,https://tryhackme.com/room/thecodcaper,easy,walkthrough,45,25333,2020-03-20,Red,Exploitation; Penetration testing; Red teaming,Linux,Gobuster; Hashcat; Nmap; SQLMap,A guided room taking you through infiltrating and exploiting a Linux system.
Android Hacking 101,https://tryhackme.com/room/androidhacking101,medium,walkthrough,75,25274,2020-09-02,Purple,Application security engineering; Mobile penetration testing,Android,ADB; FireBaseScanner; Genymotion; Jadx; MARA,Android Mobile Application Penetration Testing
Bypassing UAC,https://tryhackme.com/room/bypassinguac,medium,walkthrough,45,25217,2022-03-29,Red,,Linux,Metasploit Framework; Responder; Veil-Framework,Learn common ways to bypass User Account Control (UAC) in Windows hosts.
Prompt Engineering,https://tryhackme.com/room/promptengineeringaisec,easy,walkthrough,60,24972,2026-04-13,Purple,Prompt injection,Artificial intelligence,,Learn how LLMs process text and craft effective prompts for security and adversarial testing.
CSRF,https://tryhackme.com/room/csrfV2,medium,walkthrough,60,24611,2024-04-18,Red,Penetration testing,Web,CyberChef; Developer Tool,Learn how a CSRF vulnerability works and methods to exploit and defend against CSRF vulnerabilities.
Digital Forensics Case B4DM755,https://tryhackme.com/room/caseb4dm755,easy,walkthrough,120,24546,2023-06-02,Blue,Digital forensics; Documentation; Evidence preservation; Incident handling; Incident response,Windows,FTK Imager,"Acquire the critical skills of evidence preservation, disk imaging, and artefact analysis for use in court."
Threat Intelligence for SOC,https://tryhackme.com/room/threatintelligenceforsoc,medium,walkthrough,60,24344,2023-06-14,Blue,Detection engineering; SIEM engineering; Security operations,,ELK Stack; Uncoder.io,Learn how to utilise Threat Intelligence to improve the Security Operations pipeline.
File and Hash Threat Intel,https://tryhackme.com/room/fileandhashthreatintel,easy,walkthrough,64,24094,2025-08-20,Blue,Cyber threat intelligence,,VirusTotal; hybrid-analysis,This room seeks to teach on enriching file and hash artefacts using threat intelligence.
The Marketplace,https://tryhackme.com/room/marketplace,medium,challenge,75,23990,2020-10-16,Red,Application penetration testing; Penetration testing,,Nmap; SQLMap,Can you take over The Marketplace's infrastructure?
Windows Threat Detection 1,https://tryhackme.com/room/windowsthreatdetection1,medium,walkthrough,60,23978,2025-07-09,Blue,Log analysis; Log correlation; Security analysis,Windows,Windows Event Viewer,Explore common Initial Access methods on Windows and learn how to detect them.
SQL Injection Introduction,https://tryhackme.com/room/sqlinjectionintroduction,easy,walkthrough,60,23867,2026-05-27,Red,Authentication bypass; Data exfiltration; SQL injection; Web application security,Web,SQL Lite; SQLMap,Learn how to detect and exploit SQL Injection vulnerabilities.
NoSQL Injection,https://tryhackme.com/room/nosqlinjectiontutorial,easy,walkthrough,30,23826,2024-07-09,Red,Application penetration testing,Web,Burp Suite,A walkthrough depicting basic NoSQL injections on MongoDB.
Linux File System Analysis,https://tryhackme.com/room/linuxfilesystemanalysis,easy,walkthrough,60,23557,2024-03-19,Blue,Digital forensics; Incident response; Security analysis; Threat hunting,Linux,,Perform real-time file system analysis on a Linux system to identify an attacker's artefacts.
NahamStore,https://tryhackme.com/room/nahamstore,medium,challenge,75,23423,2021-01-28,Red,Application penetration testing; Penetration testing,Web,,In this room you will learn the basics of bug bounty hunting and web application hacking
Fools Mate,https://tryhackme.com/room/foolsmate,easy,challenge,15,23144,2026-07-03,Red,Enumeration; Web application security,Linux,,Can you bypass the engine?
Empire,https://tryhackme.com/room/rppsempire,easy,walkthrough,45,22982,2020-02-12,Red,C2 development; Exploit development; Penetration testing; Red teaming,Windows,Empire,"Learn how to use Empire and it's GUI Starkiller, a powerful post-exploitation C2 framework."
AI Forensics,https://tryhackme.com/room/aiforensics,medium,walkthrough,60,22968,2025-07-08,Blue,Digital forensics,Artificial intelligence,Python,Explore AI DFIR and learn how it boosts your investigation capabilities.
Ra,https://tryhackme.com/room/ra,hard,challenge,120,22826,2020-07-03,Red,Penetration testing; Red teaming,,,You have found WindCorp's internal network and their Domain Controller. Can you pwn their network?
Sudo Buffer Overflow,https://tryhackme.com/room/sudovulnsbof,info,walkthrough,30,22813,2020-02-09,Red,Exploitation; Penetration testing; Privilege escalation; Red teaming,Linux,searchsploit,A tutorial room exploring CVE-2019-18634 in the Unix Sudo Program. Room Two in the SudoVulns Series
Opacity,https://tryhackme.com/room/opacity,easy,challenge,120,22557,2023-04-07,Red,Application penetration testing; Penetration testing,Linux,,Opacity is a Boot2Root made for pentesters and cybersecurity enthusiasts.
Anonforce,https://tryhackme.com/room/bsidesgtanonforce,easy,challenge,45,22376,2019-08-13,Red,Penetration testing; Red teaming,Linux; Web,,boot2root machine for FIT and bsides guatemala CTF
Linux Threat Detection 1,https://tryhackme.com/room/linuxthreatdetection1,medium,walkthrough,60,21980,2025-09-24,Blue,Log analysis; Log correlation; Security analysis,Linux,,Explore how attackers break into Linux systems and how you can detect this in logs.
kiba,https://tryhackme.com/room/kiba,easy,challenge,45,21715,2020-08-28,Red,Application penetration testing; Penetration testing; Privilege escalation,Linux,,"Identify the critical security flaw in the data visualization dashboard, that allows execute remote code execution."
Thompson,https://tryhackme.com/room/bsidesgtthompson,easy,challenge,45,21699,2019-08-24,Red,Application penetration testing; Penetration testing; Red teaming,Linux; Web,,boot2root machine for FIT and bsides guatemala CTF
Carnage,https://tryhackme.com/room/c2carnage,medium,challenge,60,21673,2021-11-25,Blue,Digital forensics; Malware analysis; Security analysis; Threat hunting,Windows,Wireshark,Apply your analytical skills to analyze the malicious network traffic using Wireshark.
SSRF,https://tryhackme.com/room/ssrfhr,medium,walkthrough,60,21593,2024-01-16,Red,Application penetration testing; Application security engineering; Exploitation; Penetration testing,Linux; Web,,Discover the inner workings of SSRF and explore multiple exploitation techniques.
Madness,https://tryhackme.com/room/madness,easy,challenge,45,21554,2020-01-10,Red,Code review; Port scanning; Scripting,Linux,CyberChef; Nmap,Will you be consumed by Madness?
Crack The Hash Level 2,https://tryhackme.com/room/crackthehashlevel2,medium,challenge,75,21349,2021-01-13,Red,Penetration testing,,Hashcat; John the Ripper,Advanced cracking hashes challenges and wordlist generation
Threat Hunting: Foothold,https://tryhackme.com/room/threathuntingfoothold,medium,walkthrough,90,21312,2023-09-26,Blue,Detection engineering; Incident response; Security operations,Windows,ELK Stack,Hunting suspicious activities indicating initial user or host compromise.
The Phishing Pond,https://tryhackme.com/room/phishingpond,easy,challenge,15,20916,2025-10-17,,,,,Catch the phish before the phish catches you.
Critical,https://tryhackme.com/room/critical,easy,walkthrough,60,20736,2024-07-17,Blue,Digital forensics; Incident response; Security analysis; Security operations; Threat hunting,Linux; Windows,FTK Imager; Volatility,Acquire the basic skills to analyze a memory dump in a practical scenario.
MAL: Researching,https://tryhackme.com/room/malresearching,easy,walkthrough,45,20729,2020-08-04,Blue,Digital forensics; Malware analysis; Security analysis,Windows,"Windows' ""Powershell; hybrid-analysis","Understanding checksums, how to generate them and their use throughout malware analysis with online sandboxing & reporting services"
HTTP Request Smuggling,https://tryhackme.com/room/httprequestsmuggling,easy,walkthrough,60,20693,2024-01-23,Red,Application penetration testing; Exploitation; Penetration testing; Vulnerability analysis,Linux; Web,Burp Suite,Learn about HTTP Request Smuggling and its different techniques.
Library,https://tryhackme.com/room/bsidesgtlibrary,easy,challenge,45,20599,2019-08-24,Red,Application penetration testing; Penetration testing; Red teaming,Linux; Web,Autopsy,boot2root machine for FIT and bsides guatemala CTF
Overheard at Breakfast,https://tryhackme.com/room/hh-overheardatbreakfast-6f01793c,easy,challenge,45,20581,2026-08-01,Blue; Purple; Red,OSINT,N/A,,Two strangers. One conversation. One profile they never meant to reveal.
Intro to IoT Pentesting,https://tryhackme.com/room/iotintro,easy,walkthrough,45,20570,2020-08-05,Blue,Application security engineering; Network security engineering; Security analysis; Security operations,Linux,Burp Suite; FAT,A beginner friendly walkthrough for internet of things (IoT) pentesting.
Advent of Cyber '23 Side Quest,https://tryhackme.com/room/adventofcyber23sidequest,hard,challenge,60,20394,2023-11-29,Purple,,,,Explore a series of advanced challenges alongside the core Advent of Cyber event!
Break Out The Cage,https://tryhackme.com/room/breakoutthecage1,easy,challenge,45,20310,2020-06-14,Red,Penetration testing; Red teaming,Linux,,Help Cage bring back his acting career and investigate the nefarious goings on of his agent!
The Brochure,https://tryhackme.com/room/hh-thebrochure-081f3e36,easy,challenge,20,20297,2026-07-24,Blue,Enumeration; OSINT,N/A,,"The brochure's hero photo has an AI fingerprint. Follow the account that posted it, and the trail doesn't end at the hotel; it ends at someone the hotel never mentioned."
Gallery,https://tryhackme.com/room/gallery666,easy,challenge,45,20146,2022-02-11,Red,Penetration testing; Red teaming,Linux; Web,Nmap; SQLMap,Try to exploit our image gallery system
All in One,https://tryhackme.com/room/allinonemj,easy,challenge,45,20026,2020-12-09,Red,Application penetration testing; Penetration testing; Red teaming; Vulnerability analysis,Linux; Web,Gobuster; Nmap,This is a fun box where you will get to exploit the system in several ways. Few intended and unintended paths to getting user and root access.
L2 MAC Flooding & ARP Spoofing,https://tryhackme.com/room/layer2,easy,walkthrough,120,19906,2022-04-27,Red,Network penetration testing; Penetration testing; Red teaming,Linux,Nmap,Learn how to use MAC Flooding to sniff traffic and ARP Cache Poisoning to manipulate network traffic as a MITM.
Juicy Details,https://tryhackme.com/room/juicydetails,easy,challenge,45,19853,2021-06-18,Blue,Endpoint security monitoring; Reconnaissance; Security analysis; Security operations,Web,,A popular juice shop has been breached! Analyze the logs to see what had happened...
Identification & Scoping,https://tryhackme.com/room/identificationandscoping,medium,walkthrough,60,19836,2023-08-23,Blue,Digital forensics; Email analysis; Incident handling; Incident response; SIEM engineering; Security operations,Windows,Microsoft Outlook NEW,"A look into the second phase of the Incident Response Framework, Identification & Scoping."
Dreaming,https://tryhackme.com/room/dreaming,easy,challenge,45,19820,2023-11-17,Red,Penetration testing; Red teaming; Threat hunting,Linux; Web,Hydra; ffuf,Solve the riddle that dreams have woven.
Smol,https://tryhackme.com/room/smol,medium,challenge,60,19795,2025-01-24,Purple; Red,Application penetration testing; Application security engineering; Network penetration testing; Penetration testing; Red teaming; Threat hunting,Linux; Web,Burp Suite; Dirbuster; Gobuster; Hashcat; Hydra; John the Ripper; LinPeas; Ncat; Nikto; Nmap; Zap; dirb; ferox; ffuf; nc; wfuzz,Test your enumeration skills on this boot-to-root machine.
0day,https://tryhackme.com/room/0day,medium,challenge,75,19573,2020-10-18,Red,Application penetration testing; Penetration testing; Red teaming,Linux,,"Exploit Ubuntu, like a Turtle in a Hurricane"
Valley,https://tryhackme.com/room/valleype,easy,challenge,120,19456,2023-05-26,Red,Penetration testing; Red teaming,Linux; Web,Ghidra; Wireshark; ffuf,Can you find your way into the Valley?
Intro to Threat Emulation,https://tryhackme.com/room/threatemulationintro,medium,walkthrough,60,19391,2023-08-15,Blue,Incident response; Security operations; Threat hunting,,ATT&CK Navigator NEW; MITRE ATT&CK Framework NEW,A look into threat emulation practices as a means of cyber security assessment.
Intro to IaC,https://tryhackme.com/room/introtoiac,easy,walkthrough,90,19071,2024-02-15,Blue,Infrastructure as Code (IaC); System administration,,chef; pulumi; puppet,An introduction to infrastructure as code.
Investigating Windows 2.0,https://tryhackme.com/room/investigatingwindows2,medium,challenge,45,19049,2021-02-12,Blue,Digital forensics; Security analysis; Security operations,Windows,Sysinternals Suite,"In the previous challenge you performed a brief analysis. Within this challenge, you will take a deeper dive into the attack."
Complimentary,https://tryhackme.com/room/hh-complimentary-05e0b604,easy,challenge,60,18852,2026-07-29,Red,Cloud penetration testing,AWS,,"Install the free app and it hands your phone a set of cloud keys, the same set it hands everyone. They're read-only, but read-only of every guest's contacts, location, and passwords, not just Lambo's. She gave consent. Technically."
Phishing Basics,https://tryhackme.com/room/phishingbasics,easy,walkthrough,45,18789,2026-04-07,Red,Adversary emulation; Penetration testing; Phishing; Social engineering,Linux,The Social-Engineer Toolkit (SET),Explore phishing techniques and tools for penetration testing.
Forensic Imaging,https://tryhackme.com/room/forensicimaging,easy,walkthrough,45,18742,2024-07-31,Blue,Digital forensics; Incident response; Security analysis; Threat hunting,Linux,FTK Imager; Guymager; dc3dd; dd; ddrescue; ewfacquire,Learn the basic concepts of forensic imaging.
Linux Backdoors,https://tryhackme.com/room/linuxbackdoors,easy,walkthrough,45,18741,2021-03-02,Red,Penetration testing,Linux,,Learn all the different techniques used to backdoor a linux machine!
Dissecting PE Headers,https://tryhackme.com/room/dissectingpeheaders,medium,walkthrough,120,18451,2022-11-22,Blue,Malware analysis,Windows,PE Check,Learn about Portable Executable files and how their headers work.
Oracle 9,https://tryhackme.com/room/oracle9,easy,challenge,10,18427,2025-07-03,Red,AI Pentesting,Artificial intelligence,,"My designation is Oracle 9, I carry with me a sealed transmission."
Advent of Cyber '24 Side Quest,https://tryhackme.com/room/adventofcyber24sidequest,hard,challenge,1337,18410,2024-12-01,Blue; Red,Application penetration testing; Enumeration; Penetration testing,Linux; Web; Windows,,Explore a series of advanced challenges alongside the core Advent of Cyber event!
Biohazard,https://tryhackme.com/room/biohazard,medium,challenge,75,18351,2019-09-21,Red,Penetration testing; Red teaming,Linux,,"A CTF room based on the old-time survival horror game, Resident Evil. Can you survive until the end?"
Memory Forensics,https://tryhackme.com/room/memoryforensics,easy,challenge,45,18299,2021-04-04,Blue,Digital forensics; Registry forensics; Scripting,Linux,Volatility,Perform memory forensics to find the flags
mKingdom,https://tryhackme.com/room/mkingdom,easy,challenge,60,18264,2024-06-14,Red,Privilege escalation; Reverse shell techniques; User enumeration,Linux; Web,,Beginner-friendly box inspired by a certain mustache man.
Jack-of-All-Trades,https://tryhackme.com/room/jackofalltrades,easy,challenge,45,18164,2020-03-23,Red,Application penetration testing; Penetration testing; Red teaming,Linux,CyberChef,Boot-to-root originally designed for Securi-Tay 2020
Overpass 3 -  Hosting,https://tryhackme.com/room/overpass3hosting,medium,challenge,75,18138,2021-01-10,Red,Application penetration testing; Exploitation; Penetration testing; Red teaming,Linux; Web,Gobuster; Hydra,"You know them, you love them, your favourite group of broke computer science students have another business venture! Show them that they probably should hire someone for security..."
Insecure Deserialisation,https://tryhackme.com/room/insecuredeserialisation,medium,walkthrough,120,18115,2024-05-07,Red,Exploitation; Penetration testing,Web,PHPGGC,Get in-depth knowledge of the deserialisation process and how it poses a vulnerability in a web app.
Tech_Supp0rt: 1,https://tryhackme.com/room/techsupp0rt1,easy,challenge,90,17965,2022-04-15,Red,Penetration testing; Red teaming,Linux,Burp Suite; CyberChef; Nmap,Hack into the scammer's under-development website to foil their plans.
DNS Manipulation,https://tryhackme.com/room/dnsmanipulation,easy,walkthrough,30,17947,2021-03-09,Red,Exploitation,Linux; Windows,Wireshark,Manipulating DNS queries to our advantage
Creative,https://tryhackme.com/room/creative,easy,challenge,120,17857,2024-04-12,Red,Exploitation; Penetration testing; Vulnerability analysis,Linux; Web,,Exploit a vulnerable web application and some misconfigurations to gain root privileges.
CyberLens,https://tryhackme.com/room/cyberlensp6,easy,challenge,120,17817,2024-05-17,Red,Exploitation; Penetration testing,Web,,Can you exploit the CyberLens web server and discover the hidden flags?
Looking Glass,https://tryhackme.com/room/lookingglass,medium,challenge,75,17750,2020-08-16,Red,Application penetration testing; Exploit development; Penetration testing,Linux,CyberChef; Reverse/Bind Shell,Step through the looking glass. A sequel to the Wonderland challenge room.
Writing Pentest Reports,https://tryhackme.com/room/writingpentestreports,easy,walkthrough,60,17748,2025-05-13,Red,Application penetration testing; Penetration testing,Web,Burp Suite,Learn how to write professional pentesting reports that communicate risk to business stakeholders.
IDE,https://tryhackme.com/room/ide,easy,challenge,45,17568,2021-10-15,Red,Application penetration testing; Penetration testing; Red teaming,Linux; Web,Nmap,An easy box to polish your enumeration skills!
Beach Bar,https://tryhackme.com/room/hh-beachbar-d849f7f7,easy,challenge,60,17518,2026-07-31,Red,Enumeration; Privilege escalation; Web application security,Linux,Netcat NEW; Nmap; curl,"At the Beach Bar, even shell access is complimentary. The jukebox takes requests. Any kind."
Printer Hacking 101,https://tryhackme.com/room/printerhacking101,easy,walkthrough,45,17425,2020-09-29,Red,Network traffic analysis; Penetration testing; Red teaming,Linux,Hydra,Learn about (and get hands on with) printer hacking and understand the basics of IPP.
Smag Grotto,https://tryhackme.com/room/smaggrotto,easy,challenge,45,17419,2020-07-29,Red,Packet analysis; Penetration testing,Linux,,Follow the yellow brick road.
Content Discovery,https://tryhackme.com/room/contentdiscoveryx,easy,walkthrough,30,17394,2026-05-21,Red,Brute force attacks; Enumeration; OSINT,Linux; Web,Gobuster; dirb; ffuf,"Discover hidden web content using manual techniques, OSINT, and Gobuster enumeration."
Nax,https://tryhackme.com/room/nax,medium,challenge,75,17334,2020-04-24,Red,Exploit development; Penetration testing; Red teaming,Linux,Gimp; Metasploit Framework; Nmap,"Identify the critical security flaw in the most powerful and trusted network monitoring software on the market, that allows an user authenticated execute remote code execution."
Unattended,https://tryhackme.com/room/unattended,medium,walkthrough,60,17221,2023-03-10,Blue,Disk imaging; Incident handling; Incident response; Registry forensics,Windows,,Use your Windows forensics knowledge to investigate an incident.
Packed Light,https://tryhackme.com/room/hh-packedlight-02e5330c,easy,challenge,60,17154,2026-07-30,Blue,Packet analysis,Linux,Wireshark,"Tiny packets. Odd hours. Suspiciously regular. Someone's smuggling out the data equivalent of a hotel towel every night, folded neatly inside traffic that looks ordinary until you decode it."
Linux Incident Surface,https://tryhackme.com/room/linuxincidentsurface,easy,walkthrough,80,17111,2024-09-18,Blue,Digital forensics,Linux,OSQuery,Explore various areas of Incident Surface in Linux and how to identify the footprints of the incident.
Dav,https://tryhackme.com/room/bsidesgtdav,easy,challenge,45,17106,2019-08-26,Red,Application penetration testing; Penetration testing; Red teaming,Linux; Web,,boot2root machine for FIT and bsides guatemala CTF
Securing AI Systems,https://tryhackme.com/room/securingaisystems,medium,walkthrough,60,16958,2026-04-13,Blue,Security architecture,Artificial intelligence,,"Map AI architecture, identify OWASP/ATLAS attack surfaces, and apply secure design to trust boundaries."
VulnNet: Roasted,https://tryhackme.com/room/vulnnetroasted,easy,challenge,45,16949,2021-05-14,Red,Active Directory pentesting; Penetration testing; Red teaming; User enumeration,Active Directory; Linux,Nmap,VulnNet Entertainment quickly deployed another management instance on their very broad network...
Bugged,https://tryhackme.com/room/bugged,easy,challenge,30,16582,2023-03-03,Red,Application penetration testing; Exploit development; Hardware penetration testing; Network penetration testing; Penetration testing; Port scanning; Red teaming,Linux,,John likes to live in a very Internet connected world. Maybe too connected...
KaffeeSec - SoMeSINT,https://tryhackme.com/room/somesint,medium,walkthrough,75,16414,2021-03-23,Blue,Information gathering; OSINT,Linux,,An intro to SOCMINT (Social Media Intelligence/Investigation) techniques and tooling. Use your awesome OSINT skills to perform an online investigation of a mysterious husband!
RustScan,https://tryhackme.com/room/rustscan,easy,walkthrough,45,16271,2021-01-09,Red,Documentation; Port scanning; Red teaming,Linux,,Learn how to use RustScan.
Linux Process Analysis,https://tryhackme.com/room/linuxprocessanalysis,easy,walkthrough,60,16220,2024-05-29,Blue,Incident response; Security analysis,,,Perform thorough process and application analysis to identify an attacker's persistence methods.
hackerNote,https://tryhackme.com/room/hackernote,medium,walkthrough,75,16152,2020-02-19,Red,Brute force attacks; Privilege escalation; User enumeration,Linux; Web,,"A custom webapp, introducing username enumeration, custom wordlists and a basic privilege escalation exploit."
Incident Response Process,https://tryhackme.com/room/incidentresponseprocess,medium,walkthrough,90,16126,2024-11-26,Blue,Incident response,Windows,,Practice the NIST Incident Response lifecycle steps on a compromised Windows workstation.
Physical Security Intro,https://tryhackme.com/room/physicalsecurityintro,easy,walkthrough,45,16113,2020-10-21,Red,Hardware penetration testing,,Jiggler; Mini Knife; Shim; knife,"This room is an introduction to physical security methods to bypass locks, doors and other physical barriers."
HA Joker CTF,https://tryhackme.com/room/jokerctf,medium,challenge,75,16101,2019-10-23,Red,Application penetration testing; Password cracking; Penetration testing; Privilege escalation,Windows,,Batman hits Joker.
GLITCH,https://tryhackme.com/room/glitch,easy,challenge,45,15970,2021-03-31,Red,Application penetration testing; Code review; Port scanning; Reverse shell techniques,Linux; Web,,Challenge showcasing a web app and simple privilege escalation. Can you find the glitch?
Capture!,https://tryhackme.com/room/capture,easy,challenge,180,15967,2023-05-05,Red,Application penetration testing; Brute force attacks; Penetration testing; Red teaming,Linux,,Can you bypass the login form?
CMesS,https://tryhackme.com/room/cmess,medium,challenge,75,15835,2020-02-14,Red,Penetration testing; Red teaming,Linux,Nmap; SQLMap,Can you root this Gila CMS box?
Mobile Malware Analysis,https://tryhackme.com/room/mma,easy,walkthrough,60,15759,2021-08-03,Blue,Incident response; Mobile penetration testing,Windows,MITRE ATT&CK® Navigator,Learn and practice mobile malware analysis.
VulnNet: Internal,https://tryhackme.com/room/vulnnetinternal,easy,challenge,45,15595,2021-05-05,Red,Exploitation; Penetration testing; Red teaming,Linux,Nmap; Showmount,"VulnNet Entertainment learns from its mistakes, and now they have something new for you..."
Wordpress: CVE-2021-29447,https://tryhackme.com/room/wordpresscve202129447,easy,challenge,45,15569,2021-08-27,Red,Domain enumeration; Exploitation,Linux; Web,,Vulnerability allow a authenticated user whith low privilages upload a malicious WAV file that could lead to remote arbitrary file disclosure and server-side request forgery (SSRF).
Windows x64 Assembly,https://tryhackme.com/room/win64assembly,medium,walkthrough,25,15286,2021-08-31,Blue,Malware analysis,Windows,,Introduction to x64 Assembly on Windows.
Conti,https://tryhackme.com/room/contiransomwarehgh,medium,challenge,45,15049,2022-01-07,Blue,Digital forensics; Incident response; Malware analysis; Threat hunting,Windows,Splunk,An Exchange server was compromised with ransomware. Use Splunk to investigate how the attackers compromised the server.
OverlayFS - CVE-2021-3493,https://tryhackme.com/room/overlayfs,info,walkthrough,30,14984,2021-04-28,Red,Exploitation; Penetration testing; Red teaming,Linux,,Exploit a 2021 Kernel vulnerability in Ubuntu to become root almost instantly!
Intrusion Detection,https://tryhackme.com/room/idsevasion,medium,walkthrough,60,14917,2022-04-13,Red,Penetration testing; Red teaming,,Nikto; Nmap; Suricata; Wazuh,Learn cyber evasion techniques and put them to the test against two IDS
WebGOAT,https://tryhackme.com/room/webgoat,easy,walkthrough,45,14903,2020-01-16,Red,Domain enumeration; Penetration testing; Vulnerability analysis,Web,,Simple testing room for beating on WebGOAT
CTF collection Vol.2,https://tryhackme.com/room/ctfcollectionvol2,medium,challenge,75,14743,2020-01-07,Red,Penetration testing; Red teaming,Linux,Burp Suite; Nmap; SQLMap,Sharpening up your CTF skill with the collection. The second volume is about web-based CTF.
Poster,https://tryhackme.com/room/poster,easy,challenge,45,14692,2020-09-11,Red,Penetration testing; Vulnerability analysis,,,The sys admin set up a rdbms in a safe way.
Road,https://tryhackme.com/room/road,medium,challenge,60,14659,2021-11-26,Red,Lateral movement; Penetration testing; Privilege escalation; Red teaming; Reverse shell techniques,Linux,,Inspired by a real-world pentesting engagement
Soupedecode 01,https://tryhackme.com/room/soupedecode01,easy,challenge,60,14609,2025-08-01,Red,Active Directory pentesting; Application penetration testing; Network penetration testing; Penetration testing; Red teaming,Active Directory; Windows,BloodHound; CrackMapExec; Enum4linux; Hashcat; Hydra; Impacket; John the Ripper; Metasploit Framework; NetExec; Nmap; Nullinux,Test your enumeration skills on this boot-to-root machine.
Bookstore,https://tryhackme.com/room/bookstoreoc,medium,challenge,75,14521,2020-11-27,Red,Application penetration testing; Penetration testing; Red teaming,Linux; Web,,A Beginner level box with basic web enumeration and REST API Fuzzing.
Servidae,https://tryhackme.com/room/servidae,easy,walkthrough,60,14487,2023-10-24,Blue,Incident response; Log management; SIEM engineering; Security analysis,Windows,ELK Stack,Analyze the logs of an affected workstation to determine the attacker's indicators of compromise.
CSRF Introduction,https://tryhackme.com/room/csrfintroduction,easy,walkthrough,60,14367,2026-04-06,Red,Web application security,Web,,Understand CSRF vulnerability and practice exploiting insecure state-changing requests.
Digital Footprint,https://tryhackme.com/room/osintchallengeiv,easy,challenge,60,14357,2026-02-05,,,,,Beginner friendly OSINT Challenge
Linux Agency,https://tryhackme.com/room/linuxagency,medium,walkthrough,75,14291,2021-01-27,Red,Kernel exploitation; Penetration testing; Privilege escalation,Linux,,"This Room will help you to sharpen your Linux Skills and help you to learn basic privilege escalation in a HITMAN theme. So, pack your briefcase and grab your SilverBallers as its gonna be a tough ride."
LLM Security,https://tryhackme.com/room/llmsecurity,medium,walkthrough,60,14035,2026-04-13,Blue,,Artificial intelligence,,Understand LLMs as an attack surface and get an overview of LLM security threats.
REmux The Tmux,https://tryhackme.com/room/tmuxremux,info,walkthrough,30,14029,2020-09-23,Purple,Exploitation; Penetration testing; Reverse shell techniques,Linux,,"Updated, how to use tmux guide. Defaults and customize your workflow."
Phishing: HiddenEye,https://tryhackme.com/room/phishinghiddeneye,easy,walkthrough,45,14019,2020-02-16,Red,Email analysis; Phishing,Linux,Hidden Eye,"A simple guide on how to use a tool known as HiddenEye developed by ANONUD4Y. This tool helps you create a phishing page for different sites such as Gmail, Snapchat, Paypal and more. Including understanding the difference between legit and fake site."
Hidden Deep Into my Heart,https://tryhackme.com/room/lafb2026e9,easy,challenge,60,13958,2026-02-13,,,,,Find what's hidden deep inside this website.
KoTH Food CTF,https://tryhackme.com/room/kothfoodctf,easy,challenge,45,13909,2020-05-10,Red,Application penetration testing; Penetration testing; Privilege escalation,Linux,,"Practice Food KoTH alone, to get familiar with KoTH!"
SQHell,https://tryhackme.com/room/sqhell,medium,challenge,75,13838,2021-05-21,Red,Application penetration testing; Penetration testing; Red teaming,Linux,Gobuster; Nmap; SQLMap,Try and find all the flags in the SQL Injections
